Tower_ID,temperature_c,battery_health,Power_Consumption_W,signal_drop_rate,Fan_Speed_RPM,Humidity_Percent,Traffic_Load,Tower_Age_Years,hardware_failure
1,35.6,50.91,2962,56,2838,52,2612,4,0
2,43.9,53.33,736,69,3139,36,3427,6,0
3,29,51.01,2335,50,3117,81,4254,11,1
4,39,45.62,2808,88,3367,92,1575,7,0
5,56.8,51.29,2590,100,1040,25,1336,4,1
6,63.2,46.36,1180,59,3111,64,3883,13,1
7,50.5,46.04,1104,83,2493,48,519,6,0
8,42.6,51.61,1158,43,2875,64,3984,9,1
9,33.8,46.36,1526,47,1557,81,3571,5,1
10,32.6,52.23,1003,54,2519,56,1385,1,1
11,37.2,44.75,1374,73,2698,70,554,4,1
12,60.2,51.95,943,49,867,34,373,10,1
13,43.1,53.35,697,52,1412,87,1707,6,1
14,35.1,53,1750,94,3123,79,270,13,0
15,63.2,53.59,2581,74,2063,21,4993,8,1
16,54.4,44.52,600,97,1429,54,1959,1,1
17,63.7,42.26,2972,42,3270,55,4273,11,1
18,27.3,45.19,784,66,2880,21,1144,2,0
19,34.3,43.4,1689,86,1774,66,1312,7,1
20,38.3,49,1501,44,866,44,4054,5,1
21,31.4,49.59,1465,46,2276,48,524,7,1
22,59.5,44.48,646,93,832,34,2462,1,1
23,22.6,48.14,2253,74,2971,24,4166,2,0
24,23.5,52.32,2337,91,871,72,2397,5,1
25,41.8,49.87,1693,57,868,71,1133,14,1
26,52.8,53.74,1372,63,2762,88,4426,8,0
27,54.5,43.52,1602,86,1118,88,3731,14,1
28,29.7,51.63,1549,45,2982,57,3258,10,1
29,65.4,48.33,2316,40,2563,46,2530,2,1
30,54.7,50.43,2402,57,2675,63,1558,4,0
31,48.5,43.25,1805,71,1326,82,3812,2,1
32,64.9,51.18,1032,100,1899,54,4301,12,1
33,55.9,50.86,1079,80,836,60,3544,12,1
34,50.7,49.77,535,56,2110,90,2779,3,0
35,59.8,53.64,1539,70,1254,58,4642,14,1
36,49.4,53.19,1591,82,2653,57,3098,8,0
37,37.1,45.27,2786,58,2321,49,1577,14,0
38,32.8,53.72,566,86,2164,90,1550,13,0
39,38,52.52,831,53,3329,90,1908,3,1
40,24.3,52.56,756,47,2144,70,2563,13,1
41,59.1,53.26,2800,55,2210,38,2339,2,1
42,60,47.77,2199,76,3312,83,4391,11,1
43,49.6,44.05,774,83,1899,85,2205,2,1
44,20.4,42.15,756,83,2109,83,1753,11,1
45,27.8,46.54,849,61,1080,52,592,14,1
46,67.4,53.81,2671,45,1185,61,3749,11,1
47,27.6,51.9,982,96,2914,61,665,9,0
48,65.5,51.19,1452,81,969,65,4056,14,1
49,42.9,50.25,1553,97,2506,23,1102,15,0
50,66.5,53.08,1354,50,1330,65,121,9,1
51,47.6,51.5,2885,78,1070,60,243,2,1
52,58.8,53.43,2789,75,888,88,2258,9,1
53,61.5,50.57,2530,52,928,45,1620,10,1
54,36.7,44.01,565,80,2490,42,740,10,1
55,20.1,44.62,731,43,2432,28,2162,5,1
56,53.2,42.54,1424,45,1347,87,1635,4,1
57,25.6,51.12,2738,49,2165,64,272,9,1
58,21.4,43.05,2599,93,3356,74,1188,7,1
59,37.1,53.44,1522,91,1583,94,4442,8,0
60,44.6,46,2499,60,3479,28,3274,15,0
61,59.9,49.59,796,65,1968,81,998,5,1
62,61.7,48.67,1339,92,1347,47,4725,13,1
63,67.9,50.49,1081,53,1527,86,4536,13,1
64,30.2,51.82,516,49,1626,34,990,10,1
65,20.9,49.33,1770,87,2498,35,3653,10,0
66,51.1,42.09,2736,53,2544,59,2838,1,1
67,23.8,51.61,787,52,3206,78,3426,10,1
68,36.3,45.42,2441,95,1307,27,2667,9,0
69,33,47.47,2089,67,1066,34,2175,15,1
70,39.1,44.49,666,97,2947,42,1845,14,1
71,57.5,47.71,854,90,1185,43,1498,6,1
72,65.5,43.45,1792,75,1801,93,4860,3,1
73,67.4,47.6,720,95,1914,70,2847,6,1
74,59.8,52.69,1065,76,1251,52,1827,10,1
75,68.3,42.52,2164,89,1446,88,4906,4,1
76,49.5,43.82,1477,51,3257,81,3062,13,1
77,31.2,42.9,921,58,866,84,3972,14,1
78,35,47.17,1640,66,820,57,3870,15,1
79,23.1,52.52,2777,50,1489,94,4075,12,1
80,63.5,52.45,2491,66,1089,45,1624,2,1
81,34.5,44.66,787,67,2575,53,3462,4,1
82,63.7,44.72,1914,58,2613,85,1917,7,1
83,34.6,49.45,1402,95,3103,91,3800,11,0
84,25.6,43.85,1689,67,2627,31,2131,2,1
85,38.6,48.42,2305,43,2559,43,4656,9,1
86,65.5,47.28,2212,69,1898,27,3651,2,1
87,40.1,49.34,858,70,1821,20,1533,3,0
88,40.4,50.96,1879,66,1726,87,4987,4,0
89,57.2,45.61,967,52,3160,82,4018,14,1
90,54.7,52.3,1997,89,1714,54,2520,1,0
91,61.8,46.63,2260,94,2958,55,4751,7,1
92,21.1,52.1,2290,47,2535,33,4541,6,1
93,24.4,44.05,2231,92,2097,61,4079,11,1
94,61.3,44.05,1610,41,3405,79,2268,12,1
95,55,51.33,1480,88,2853,94,4737,12,0
96,43.8,50.5,837,91,1154,27,129,5,1
97,67.7,49.97,1031,91,2540,92,522,15,1
98,64.7,42.13,507,43,2899,49,1490,3,1
99,27.5,44.38,1941,83,1329,35,2234,12,1
100,25.3,42.66,500,78,1780,84,4458,2,1
101,53.1,49.44,769,71,2590,54,4713,7,0
102,37.3,47.54,1276,90,1203,41,1219,1,0
103,58.1,48.71,916,78,1120,72,3651,3,1
104,58.9,49.17,2201,46,3192,54,1759,14,1
105,28.4,49.16,1341,94,3048,39,2039,14,0
106,53.8,45,1266,95,987,32,3646,3,1
107,54.4,47.47,2589,75,3069,50,1472,6,0
108,50.9,50.91,1653,90,1801,28,286,3,0
109,52,51.54,1334,90,1708,79,3056,14,0
110,31.3,48.23,2716,60,2041,51,4095,14,0
111,53,48.72,1748,76,2451,81,3054,7,0
112,55.8,50.67,864,58,2653,42,4315,9,1
113,70,42.41,2236,100,1731,52,3603,6,1
114,33,44.5,716,62,1017,72,3345,3,1
115,48.2,42.47,938,82,1346,64,720,6,1
116,31.9,48.5,1695,78,2281,42,4588,4,0
117,64.1,49.48,959,50,2685,53,2584,2,1
118,68.3,48.2,2490,97,1002,77,2081,9,1
119,57.9,50.31,1801,61,944,91,1077,11,1
120,57.1,49.54,2820,84,3201,62,409,6,1
121,53.3,53.09,2092,96,2176,55,1674,6,0
122,27.8,53.01,1423,69,1004,61,1208,13,1
123,31,46.01,608,99,3005,86,2411,5,0
124,37.8,46.51,1499,93,1588,57,3680,4,0
125,49.2,51.09,1257,62,1886,83,877,11,0
126,65.1,49.69,1497,57,3059,73,2661,12,1
127,21.5,52.61,2056,78,2346,81,355,6,0
128,49.1,48.27,1915,66,2492,93,4221,15,0
129,68.6,49.84,965,81,3030,59,1188,11,1
130,50.1,52.42,870,61,2159,76,2731,4,0
131,65.9,46.68,1898,52,2660,44,1971,1,1
132,22.3,43.54,782,94,2103,88,725,9,1
133,59.9,43.67,1344,40,3225,87,2103,11,1
134,67.9,42.31,2007,90,2518,52,2116,1,1
135,65.3,51.18,1914,65,2510,60,317,6,1
136,69.9,53.35,899,84,2007,60,2436,15,1
137,33.6,42.01,2650,80,1527,56,4634,12,1
138,24.3,42.94,948,59,3429,79,426,15,1
139,54.4,45.33,1458,92,1353,73,3797,12,0
140,25,42,2749,49,2040,32,1090,14,1
141,28,53.21,2219,79,3301,83,2487,8,0
142,20.5,52.02,1786,86,2480,35,2094,15,0
143,40.9,42.47,1295,59,2633,38,4136,9,1
144,63.9,43.53,983,66,2017,24,3444,7,1
145,63,50.71,2573,52,2379,26,1560,9,1
146,56.7,45.66,2735,78,1389,68,2027,12,1
147,29.4,53.58,2792,60,1497,27,1220,12,0
148,27.6,42.07,1932,76,3053,25,1046,1,1
149,63.8,53.54,617,63,839,75,229,8,1
150,31.2,51.38,2592,77,3265,65,1663,15,0
151,61.8,53.04,1477,58,1102,42,2245,1,1
152,30.7,47.34,900,40,3296,41,1282,3,1
153,31.3,52.11,2715,98,1570,49,2389,1,0
154,64.4,47.47,2322,54,1651,87,2822,5,1
155,30.8,42.71,2850,91,2819,43,3963,6,1
156,40.3,53.86,879,95,3356,73,3745,6,0
157,32.9,51,2249,100,1123,93,4670,10,1
158,64.5,47.43,1577,88,2006,87,2915,15,1
159,54.1,44.35,2989,65,1095,73,1524,2,1
160,56.7,48.59,2639,87,2029,26,1782,4,1
161,55.8,51.11,2520,54,1074,79,888,1,1
162,61,53.27,2002,82,2713,29,2305,14,1
163,60.1,43,2834,44,2525,37,3119,14,1
